 Abastecimento de água - Brasil
Domicílios por Município e Ano
Período:1991, 2000, 2010
"170370 BREJINHO DE NAZARE";1382;1207;1518
"170380 BURITI DO TOCANTINS";1554;1693;2282
"170382 CACHOEIRINHA";-;408;560
"170384 CAMPOS LINDOS";-;1050;1882
"170386 CARIRI DO TOCANTINS";-;782;1074
"170388 CARMOLANDIA";-;488;664
"170389 CARRASCO BONITO";-;689;938
"170390 CASEARA";558;908;1341
"170410 CENTENARIO";-;502;702
"170460 CHAPADA DE AREIA";-;334;454
"170510 CHAPADA DA NATIVIDADE";-;650;927
"170550 COLINAS DO TOCANTINS";4676;6356;9140
"170555 COMBINADO";1014;1092;1437
"170560 CONCEICAO DO TOCANTINS";1027;984;1158
"170600 COUTO MAGALHAES";1469;1080;1421
"170610 CRISTALANDIA";2430;1909;2265
"170625 CRIXAS DO TOCANTINS";-;344;490
"170650 DARCINOPOLIS";-;989;1485
"170700 DIANOPOLIS";2888;3454;5154
"170710 DIVINOPOLIS DO TOCANTINS";1427;1506;1944
"170720 DOIS IRMAOS DO TOCANTINS";1593;1846;2275
"170730 DUERE";1093;1174;1446
"170740 ESPERANTINA";-;1606;2252
"170755 FATIMA";950;967;1138
"170765 FIGUEIROPOLIS";1633;1536;1734
"170770 FILADELFIA";2142;1786;2282
"170820 FORMOSO DO ARAGUAIA";3504;4631;5354
"170825 FORTALEZA DO TABOCAO";-;578;688
"170830 GOIANORTE";1028;1221;1526
"170900 GOIATINS";3328;2267;2990
"170930 GUARAI";4599;5210;6978
"170950 GURUPI";12805;17013;23242
"170980 IPUEIRAS";-;271;518
"171050 ITACAJA";2761;1572;1880
"171070 ITAGUATINS";2210;1471;1620
"171090 ITAPIRATINS";-;774;1057
"171110 ITAPORA DO TOCANTINS";780;636;746
"171150 JAU DO TOCANTINS";-;841;1141
"171180 JUARINA";-;570;678
"171190 LAGOA DA CONFUSAO";-;1411;2643
"171195 LAGOA DO TOCANTINS";-;556;899
"171200 LAJEADO";-;562;801
"171215 LAVANDEIRA";-;291;490
"171240 LIZARDA";808;813;1014
"171245 LUZINOPOLIS";-;443;727
"171250 MARIANOPOLIS DO TOCANTINS";504;920;1339
"171270 MATEIROS";-;341;556
"171280 MAURILANDIA DO TOCANTINS";-;616;850
"171320 MIRACEMA DO TOCANTINS";4563;5887;5940
"171330 MIRANORTE";2394;3035;3790
"171360 MONTE DO CARMO";1225;1215;1885
"171370 MONTE SANTO DO TOCANTINS";-;493;686
"171380 PALMEIRAS DO TOCANTINS";-;1033;1502
"171395 MURICILANDIA";-;643;875
"171420 NATIVIDADE";2104;2092;2605
"171430 NAZARE";1777;1158;1223
"171488 NOVA OLINDA";1612;2243;2992
"171500 NOVA ROSALANDIA";681;818;1139
"171510 NOVO ACORDO";781;664;1060
"171515 NOVO ALEGRE";-;566;689
"171525 NOVO JARDIM";-;458;654
"171550 OLIVEIRA DE FATIMA";-;204;319
"171570 PALMEIRANTE";-;846;1356
"171575 PALMEIROPOLIS";2451;1942;2362
"171610 PARAISO DO TOCANTINS";6356;9516;13410
"171620 PARANA";2217;2418;2874
"171630 PAU D'ARCO";-;1016;1308
"171650 PEDRO AFONSO";2508;2217;3308
"171660 PEIXE";2841;2357;3289
"171665 PEQUIZEIRO";730;1166;1514
"171670 COLMEIA";1990;2528;2795
"171700 PINDORAMA DO TOCANTINS";948;957;1224
"171720 PIRAQUE";-;528;863
"171750 PIUM";1658;1430;1982
"171780 PONTE ALTA DO BOM JESUS";1343;1069;1318
"171790 PONTE ALTA DO TOCANTINS";1406;1430;2028
"171800 PORTO ALEGRE DO TOCANTINS";417;538;737
"171820 PORTO NACIONAL";8783;10544;13748
"171830 PRAIA NORTE";1233;1357;1835
"171840 PRESIDENTE KENNEDY";1381;968;1076
"171845 PUGMIL";-;492;719
"171850 RECURSOLANDIA";-;631;903
"171855 RIACHINHO";-;794;1150
"171865 RIO DA CONCEICAO";-;242;453
"171870 RIO DOS BOIS";-;575;787
"171875 RIO SONO";1334;1353;1680
"171880 SAMPAIO";858;616;997
"171884 SANDOLANDIA";-;897;1123
"171886 SANTA FE DO ARAGUAIA";-;1211;1822
"171888 SANTA MARIA DO TOCANTINS";-;502;816
"171889 SANTA RITA DO TOCANTINS";-;520;666
"171890 SANTA ROSA DO TOCANTINS";826;921;1339
"171900 SANTA TEREZA DO TOCANTINS";582;460;661
"172000 SANTA TEREZINHA DO TOCANTINS";-;550;683
"172010 SAO BENTO DO TOCANTINS";-;791;1166
"172015 SAO FELIX DO TOCANTINS";-;241;345
"172020 SAO MIGUEL DO TOCANTINS";-;1913;2728
"172025 SAO SALVADOR DO TOCANTINS";-;649;826
"172030 SAO SEBASTIAO DO TOCANTINS";836;765;1079
"172049 SAO VALERIO";750;1278;1345
"172065 SILVANOPOLIS";1161;1140;1541
"172080 SITIO NOVO DO TOCANTINS";1554;2117;2416
"172085 SUCUPIRA";-;364;551
"172090 TAGUATINGA";2473;3286;4340
"172093 TAIPAS DO TOCANTINS";-;390;529
"172097 TALISMA";-;601;800
"172100 PALMAS";4686;35047;68679
"172110 TOCANTINIA";1313;1323;1661
"172120 TOCANTINOPOLIS";6265;5374;6197
"172125 TUPIRAMA";-;307;478
"172130 TUPIRATINS";-;340;646
"172208 WANDERLANDIA";1841;2463;2913
"172210 XAMBIOA";2433;2816;3186
"210005 ACAILANDIA";16199;19610;27484
"210010 AFONSO CUNHA";814;955;1303
"210015 AGUA DOCE DO MARANHAO";-;1969;2728
"210020 ALCANTARA";4138;5009;6074
"210030 ALDEIAS ALTAS";4011;4164;5786
"210040 ALTAMIRA DO MARANHAO";3904;1934;2635
"210043 ALTO ALEGRE DO MARANHAO";-;4405;5849
"210047 ALTO ALEGRE DO PINDARE";-;5902;7272
"210050 ALTO PARNAIBA";1950;2158;2636
"210055 AMAPA DO MARANHAO";-;1066;1503
"210060 AMARANTE DO MARANHAO";4351;6643;9237
"210070 ANAJATUBA";3915;5066;6490
"210080 ANAPURUS";1978;2190;3326
"210083 APICUM-ACU";-;2066;3390
"210087 ARAGUANA";-;1786;3048
"210090 ARAIOSES";8364;7290;10251
"210095 ARAME";5813;5724;6929
"210100 ARARI";4660;5451;6925
"210110 AXIXA";1654;1944;2545
"210120 BACABAL";20857;21173;26246
"210125 BACABEIRA";-;2249;3657
"210130 BACURI";4510;3291;4210
"210135 BACURITUBA";-;1048;1397
"210140 BALSAS";8327;13102;21277
"210150 BARAO DE GRAJAU";2890;3538;4726
"210160 BARRA DO CORDA";17380;17067;21633
"210170 BARREIRINHAS";5320;7725;12133
"210173 BELAGUA";-;923;1265
"210177 BELA VISTA DO MARANHAO";-;2056;2978
"210180 BENEDITO LEITE";1884;1171;1419
"210190 BEQUIMAO";4556;4442;5637
"210193 BERNARDO DO MEARIM";-;1197;1496
"210197 BOA VISTA DO GURUPI";-;1012;1817
"210200 BOM JARDIM";7997;7354;9592
"210203 BOM JESUS DAS SELVAS";-;3440;6188
"210207 BOM LUGAR";-;2426;3520
"210210 BREJO";5324;5883;7934
"210215 BREJO DE AREIA";-;2028;1274
"210220 BURITI";4529;4872;6049
"210230 BURITI BRAVO";4410;4802;5709
"210232 BURITICUPU";-;9608;14973
"210235 BURITIRANA";-;2943;3775
"210237 CACHOEIRA GRANDE";-;1363;1770
"210240 CAJAPIO";2470;1973;2590
"210250 CAJARI";3359;2815;4308
"210255 CAMPESTRE DO MARANHAO";-;2538;3518
"210260 CANDIDO MENDES";6228;3149;4176
"210270 CANTANHEDE";4703;3693;4713
"210275 CAPINZAL DO NORTE";-;2504;2880
"210280 CAROLINA";4925;5439;6289
"210290 CARUTAPERA";6199;3695;5060
"210300 CAXIAS";30281;31880;40155
"210310 CEDRAL";2794;2064;2597
"210312 CENTRAL DO MARANHAO";-;1595;1979
"210315 CENTRO DO GUILHERME";-;1162;2593
"210317 CENTRO NOVO DO MARANHAO";-;2840;3946
"210320 CHAPADINHA";11390;13280;17647
"210325 CIDELANDIA";-;2639;3515
"210330 CODO";24039;25078;29571
"210340 COELHO NETO";7785;9000;11112
"210350 COLINAS";7477;8050;9873
"210355 CONCEICAO DO LAGO-ACU";-;2208;3339
"210360 COROATA";15433;13083;15929
"210370 CURURUPU";8235;7274;8427
"210375 DAVINOPOLIS";-;2857;3318
"210380 DOM PEDRO";4221;5221;6204
"210390 DUQUE BACELAR";1429;1795;2386
"210400 ESPERANTINOPOLIS";6035;4567;4808
"210405 ESTREITO";4437;5180;9090
"210407 FEIRA NOVA DO MARANHAO";-;1479;1987
"210408 FERNANDO FALCAO";-;968;1881
"210409 FORMOSA DA SERRA NEGRA";-;2535;3880
"210410 FORTALEZA DOS NOGUEIRAS";2257;2190;2850
"210420 FORTUNA";3236;3311;3926
"210430 GODOFREDO VIANA";5310;1552;2477
"210440 GONCALVES DIAS";3636;3939;4559
"210450 GOVERNADOR ARCHER";2202;2111;2577
"210455 GOVERNADOR EDISON LOBAO";-;2461;4245
"210460 GOVERNADOR EUGENIO BARROS";5071;3445;4096
"210462 GOVERNADOR LUIZ ROCHA";-;1413;1892
"210465 GOVERNADOR NEWTON BELLO";-;2437;2833
"210467 GOVERNADOR NUNES FREIRE";-;5098;5815
"210470 GRACA ARANHA";1271;1451;1698
"210480 GRAJAU";10004;9412;14912
"210490 GUIMARAES";2432;2766;3326
"210500 HUMBERTO DE CAMPOS";3627;4008;5638
"210510 ICATU";4137;4265;5776
"210515 IGARAPE DO MEIO";-;2095;3017
"210520 IGARAPE GRANDE";2982;2175;2855
"210530 IMPERATRIZ";56081;54354;68561
"210535 ITAIPAVA DO GRAJAU";-;2557;3280
"210540 ITAPECURU MIRIM";8759;9459;15703
"210542 ITINGA DO MARANHAO";-;5239;6620
"210545 JATOBA";-;1079;2138
"210547 JENIPAPO DOS VIEIRAS";-;2076;3638
"210550 JOAO LISBOA";10516;5395;5401
"210560 JOSELANDIA";3050;3172;3913
"210565 JUNCO DO MARANHAO";-;1086;986
"210570 LAGO DA PEDRA";9395;8940;11436
"210580 LAGO DO JUNCO";3686;2120;2593
"210590 LAGO VERDE";2466;2699;3684
"210592 LAGOA DO MATO";-;2065;2684
"210594 LAGO DOS RODRIGUES";-;1893;2061
"210596 LAGOA GRANDE DO MARANHAO";-;1735;2404
"210598 LAJEADO NOVO";-;1168;1831
"210600 LIMA CAMPOS";2790;2648;3188
"210610 LORETO";1739;2036;2670
"210620 LUIS DOMINGUES";1686;1198;1587
"210630 MAGALHAES DE ALMEIDA";2174;2680;4044
"210632 MARACACUME";-;2941;4610
"210635 MARAJA DO SENA";-;1391;1759
"210637 MARANHAOZINHO";-;1682;3095
"210640 MATA ROMA";1969;2494;3537
"210650 MATINHA";3631;4110;5576
"210660 MATOES";5304;5757;7591
"210663 MATOES DO NORTE";-;1603;2529
"210667 MILAGRES DO MARANHAO";-;1036;1799
"210670 MIRADOR";3449;4268;4897
"210675 MIRANDA DO NORTE";2849;3600;5195
"210680 MIRINZAL";3348;2714;3546
"210690 MONCAO";5246;5416;7473
"210700 MONTES ALTOS";3725;2243;2388
"210710 MORROS";3451;2747;3772
"210720 NINA RODRIGUES";1432;1640;2540
"210725 NOVA COLINAS";-;718;1188
"210730 NOVA IORQUE";1023;1082;1207
"210735 NOVA OLINDA DO MARANHAO";-;3154;4525
"210740 OLHO D'AGUA DAS CUNHAS";3297;3360;4856
"210745 OLINDA NOVA DO MARANHAO";-;2146;3259
"210750 PACO DO LUMIAR";10351;17600;27114
"210760 PALMEIRANDIA";3074;3748;4947
"210770 PARAIBANO";3301;4097;5288
"210780 PARNARAMA";6481;7096;8647
"210790 PASSAGEM FRANCA";4723;3415;4568
